city,region,type_of_unite,in_compound,owner_type,area,rooms,bathrooms,floor_number,elevator,finish_status,year_of_building,views,has_reviews,payment_method,price_per_meter,price,area_category,floor_category,building_category
Greater Cairo,كمبوند أرمونيا - ذا لاند للتطوير,Apartment,True,Real Estate Marketer,138,3,2,2,False,Unfinished,2029,Garden,True,Installment,32652,4506000,Large,low,new
Hurghada,منتجع بلاتينيوم - اوربت جروب,Studio,False,Real Estate Marketer,56,1,1,3,False,Super Luxury,2026,Swimming Pool,False,Installment,66000,3696000,Small,low,new
Greater Cairo,كمبوند ذا لوفت - ليفينج يارد,Apartment,True,Developer,174,3,2,1,False,Semi-Finished,2025,Main Street,True,Cash or Installment,52956,9214314,X-Large,low,new
Greater Cairo,كمبوند تريو جاردنز - ام سكويرد,Apartment,True,Real Estate Marketer,115,2,2,2,False,Extra Super Luxury,2027,Garden,True,Cash or Installment,85217,9800000,Medium,low,new
Greater Cairo,كمبوند البروج - كابيتال جروب,Apartment,True,Real Estate Marketer,106,2,2,5,False,Extra Super Luxury,2025,Garden,True,Cash or Installment,54605,5788169,Medium,mid,new
Greater Cairo,كمبوند جاردينيا العبور - الملتقي,Apartment,True,Real Estate Marketer,115,2,2,2,False,Extra Super Luxury,2028,Swimming Pool,True,Cash or Installment,22261,2560000,Medium,low,new
Hurghada,منتجع بلاتينيوم - اوربت جروب,Studio,False,Real Estate Marketer,46,1,1,4,True,Super Luxury,2026,Sea,False,Cash or Installment,71500,3289000,Small,mid,new
Greater Cairo,كمبوند ذا لوفت - ليفينج يارد,Apartment,True,Developer,143,2,2,2,False,Semi-Finished,2025,Main Street,True,Cash or Installment,55142,7885367,Large,low,new
Greater Cairo,تاج سلطان - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,176,3,3,0,False,Unfinished,2026,Garden,True,Cash or Installment,49438,8701000,X-Large,ground,new
Hurghada,منتجع مجاويش,Studio,False,Real Estate Marketer,49,1,1,3,True,Super Luxury,2026,Swimming Pool,False,Cash or Installment,66000,3234000,Small,low,new
Greater Cairo,كمبوند هايد بارك,Apartment,True,Developer,78,1,1,2,False,Extra Super Luxury,2028,Main Street,True,Cash or Installment,138333,10790000,Small,low,new
Hurghada,منتجع مجاويش,Apartment,False,Real Estate Marketer,69,1,1,0,False,Super Luxury,2025,Swimming Pool,False,Cash or Installment,44174,3048000,Small,ground,new
Greater Cairo,كمبوند سيتي اوفال - ماستر جروب,Apartment,True,Developer,93,2,1,2,False,Semi-Finished,2029,Lake,True,Cash or Installment,42827,3982948,Medium,low,new
Greater Cairo,كمبوند فيدا,Apartment,True,Developer,120,3,2,2,False,Semi-Finished,2028,Main Street,True,Cash or Installment,20000,2400000,Medium,low,new
Greater Cairo,كمبوند سراي - مدينة مصر للتطوير,Apartment,True,Real Estate Marketer,132,3,2,1,False,Unfinished,2026,Main Street,True,Cash or Installment,63689,8407000,Large,low,new
Greater Cairo,ماونتن بارك - كمبوند ماونتن فيو أي سيتي,Apartment,True,Real Estate Marketer,156,3,3,0,False,Unfinished,2025,Lake,True,Cash or Installment,41388,6456500,Large,ground,new
Greater Cairo,ممشي المقصد - سيتي ايدج,Apartment,False,Real Estate Marketer,168,3,3,2,False,Extra Super Luxury,2025,Garden,True,Cash or Installment,57238,9616000,X-Large,low,new
Greater Cairo,كمبوند بادية - بالم هيلز,Apartment,True,Real Estate Marketer,127,2,2,1,False,Semi-Finished,2020,Garden,True,Cash,60630,7700000,Large,low,new
Greater Cairo,كمبوند ريد - كورنر ستون,Apartment,True,Developer,83,1,1,1,False,Super Luxury,2024,Main Street,False,Installment,73700,6117100,Medium,low,new
Greater Cairo,نكست بوينت - نكست هوم,Apartment,True,Developer,148,3,1,12,True,Semi-Finished,2024,Main Street,True,Cash or Installment,25000,3700000,Large,high,new
Greater Cairo,Al Maqsed Park - Al Maqsed Residence,Apartment,False,Real Estate Marketer,152,3,3,2,False,Extra Super Luxury,2025,Garden,True,Cash,22171,3370000,Large,low,new
Greater Cairo,كمبوند بلو فيرت - السعودية المصرية,Apartment,True,Real Estate Marketer,139,2,3,5,False,Semi-Finished,2025,Garden,True,Installment,19583,2722000,Large,mid,new
Greater Cairo,كمبوند ايون - برايم,Apartment,True,Developer,168,3,2,2,False,Semi-Finished,2028,Main Street,True,Cash or Installment,36044,6055392,X-Large,low,new
Greater Cairo,Vida Residence - Kayan,Apartment,False,Developer,55,1,2,2,False,Semi-Finished,2028,Garden,True,Installment,21818,1200000,Small,low,new
North Coast,منتجع سيسليا لاجونز - ابن سينا,Penthouse,False,Developer,176,3,2,0,False,Extra Super Luxury,2025,Sea,True,Cash or Installment,46591,8200000,X-Large,ground,new
